"","cct","cal_esp1","N1","cal_esp2","N2","cal_esp3","N3","PromedioSecundaria","NTotal"
"767","01DST0022T",511.864020737521,406,481.951489586217,381,526.042451023675,313,506.619320449138,1100
"768","01PES0003R",597.529325866699,40,606.512906830886,29,611.223120117187,30,605.088450938258,99
"769","01PES0004Q",615.653099060059,32,577.09452718099,30,587.887760835535,34,593.545129025528,96
"770","01PES0037H",634.768923187256,40,585.743696812221,35,645.317687988281,30,621.943435995919,105
"771","01DES0013T",444.35470023522,156,412.256979370117,105,506.489888509115,99,454.367189371484,360
"772","01DES0031I",474.96254267935,472,481.566007699006,427,523.646591298446,409,493.391713892267,1308
"773","01DES0034F",450.845104770806,262,431.838717406651,212,469.319865399096,166,450.667895858851,640
"774","01PES0045Q",531.06691148546,36,521.867409842355,21,571.617303030832,28,541.517208119549,85
"775","01PES0055X",559.812833658854,15,567.17472076416,4,595.06613667806,12,574.017897033691,31
"776","01PES0062G",633.726809853002,19,585.488765716553,16,657.279675292969,5,625.498416954174,40
"777","01PES0063F",560.510406494141,27,576.031175093217,11,600.391765247692,22,578.97778227835,60
"778","01PES0064E",437.799397786458,9,353.342971801758,2,0,0,263.714123196072,11
"779","01DES0015R",441.477346196905,222,447.416494955228,254,521.831316653813,214,470.241719268649,690
"780","01DES0030J",488.140220097133,112,475.062483318781,118,524.300650833,117,495.834451416305,347
"781","01DST0021U",436.476447757922,152,432.80920560595,142,479.568626880646,128,449.618093414839,422
"782","01DST0024R",506.701403041574,374,503.534299978362,343,525.738311345027,325,511.991338121654,1042
"783","01DST0030B",483.489344139622,146,462.959023328331,123,511.37798899989,124,485.942118822614,393
"784","01PES0011Z",489.49696858724,9,490.862762451172,12,464.705635918511,18,481.688455652308,39
"785","01PES0027A",566.188553247696,39,592.989273483689,37,572.302298409598,35,577.160041713661,111
"786","01PES0039F",619.617092556424,9,593.243827311198,15,628.419605601918,11,613.760175156513,35
"787","01PES0061H",588.715537331321,11,580.049860636393,6,599.415111194957,11,589.393503054224,28
"788","01DTV0030P",475.132225299704,29,459.361768086751,36,534.002084732056,16,489.49869270617,81
"789","01DTV0049N",396.427282384924,37,430.699546813965,48,450.332668906764,38,425.819832701884,123
"790","01DTV0050C",454.752281188965,12,409.744480133057,8,475.73818359375,10,446.74498163859,30
"791","01DTV0057W",491.609190804618,28,448.538907137784,33,464.18175875756,31,468.109952233321,92
"792","01DTV0060J",405.606236611643,31,461.088022867839,21,470.66247897678,18,445.78557948542,70
"793","01DTV0106O",512.442361831665,16,453.390464782715,20,505.695874532064,12,490.509567048815,48
"794","01DTV0107N",418.872045690363,44,460.715223832564,22,503.206521606445,30,460.931263709791,96
"795","01DTV0108M",413.000042255108,13,424.672436523438,20,396.937194824219,23,411.536557867588,56
"796","01DTV0180W",371.093713378906,15,417.07823399135,14,559.966794527494,13,449.379580632584,42
"797","01DTV0029Z",549.076791616587,13,519.777912684849,14,548.055463155111,12,538.970055818849,39
"798","01DTV0095Z",538.874024335076,17,511.730287992037,13,426.411798650568,11,492.338703659227,41
"799","01DTV0096Y",605.393011474609,20,612.922927856445,14,568.135471509851,23,595.483803613635,57
"800","01DTV0097X",467.000839233398,4,418.932964324951,8,429.776477813721,8,438.57009379069,20
"801","01DTV0098W",472.827567360618,33,444.040870666504,26,471.173385620117,20,462.680607882413,79
"802","01DTV0099V",381.357976740057,11,451.766562325614,7,469.64267985026,6,434.255739638644,24
"803","01DTV0100U",0,0,477.795202636719,10,566.191418457031,5,347.995540364583,15
"804","01DTV0101T",508.444068321815,13,415.372100830078,8,636.298838297526,6,520.038335816473,27
"805","01DTV0111Z",437.574684143066,12,478.436196463449,14,496.992923312717,9,471.001267973077,35
"806","01DTV0010B",431.439124407087,35,488.252952357701,35,509.18657875061,32,476.292885171799,102
"807","01DTV0048O",431.825319487473,29,444.349225936397,31,489.89267985026,18,455.355741758044,78
"808","01DTV0053Z",450.785125732422,19,528.370959113626,17,552.790780639648,20,510.648955161899,56
"809","01DTV0054Z",531.538094656808,7,534.690492175874,21,555.320894513811,14,540.516493782165,42
"810","01DTV0069A",466.300364845677,76,467.242497580392,56,496.018248935915,53,476.520370453995,185
"811","01DTV0071P",473.249652569111,13,462.812534332275,16,453.214458465576,16,463.092215122321,45
"812","01DTV0110A",435.932315224095,19,430.121658325195,14,488.35057258606,16,451.468182045117,49
"813","01DTV0117U",418.696811451631,17,456.103013102214,15,533.83839064378,13,469.546071732542,45
"814","01DTV0118T",570.172299033717,19,421.962966918945,16,599.925563267299,14,530.686943073321,49
"815","01DTV0147O",384.713272094727,8,434.313495635986,8,423.000534057617,8,414.00910059611,24
"816","01DTV0167B",479.458770751953,12,506.269866943359,7,412.61093971946,11,466.113192471591,30
"817","01DTV0011A",389.351802825928,16,443.860805511475,16,583.414918899536,16,472.209175745646,48
"818","01DTV0012Z",430.074117726293,29,438.790856933594,30,585.066344084563,27,484.643772914817,86
"819","01DTV0035K",507.208305722191,21,605.695854187012,28,625.33450012207,20,579.412886677091,69
"820","01DTV0047P",424.27937189738,24,537.341739230686,18,593.52558176141,19,518.382230963159,61
"821","01DTV0072O",550.516777732156,22,469.259386062622,16,467.241818237305,10,495.672660677361,48
"822","01DTV0102S",458.812200131624,23,487.996517944336,20,415.711582728795,21,454.173433601585,64
"823","01DTV0112Z",542.501230875651,12,363.441231282552,15,493.97407023112,12,466.638844129774,39
"824","01DTV0113Y",482.219989013672,15,523.647793240017,18,509.785829984225,13,505.217870745971,46
"825","01DTV0114X",452.695652553013,21,508.579362657335,18,654.540681537829,19,538.605232249393,58
"826","01DTV0115W",487.733040257504,19,472.651289198134,9,568.854149451623,13,509.746159635753,41
"827","01DTV0119S",399.494960784912,20,458.709975298713,17,475.576734924316,20,444.593890335981,57
"828","01DTV0120H",395.974700927734,5,548.970517245206,11,479.089827104048,11,474.678348425663,27
"829","01DTV0159T",553.467071533203,10,535.397177124023,10,513.081456964666,11,533.981901873964,31
"830","01DST0008Z",464.743952290995,143,481.113893599737,168,516.98138826657,153,487.613078052434,464
"831","01DST0015J",469.462033785307,65,470.668970178675,81,553.681861700014,86,497.937621887998,232
"832","01DST0016I",430.072503846267,116,416.431373987442,78,463.200517762382,106,436.568131865364,300
"833","01DTV0015X",499.68704562717,9,463.421051025391,12,531.159138997396,9,498.089078549986,30
"834","01DTV0016W",504.50587632921,9,472.68271108774,13,531.373197115385,13,502.853928177445,35
"835","01DTV0087Q",354.764675140381,40,485.180845994216,26,488.540385437012,20,442.828635523869,86
"836","01DTV0088P",435.077067057292,12,453.085707600911,15,574.166085137261,18,487.442953265155,45
"837","01DTV0089O",395.374738905165,18,520.857014973958,6,367.113316853841,6,427.781690244321,30
"838","01DTV0090D",397.976969909668,10,435.288312639509,7,451.544763183594,15,428.270015244257,32
"839","01DTV0091C",479.905344645182,24,456.513218470982,14,463.557226007635,22,466.6585963746,60
"840","01DTV0109L",353.280681263317,11,319.228583199637,7,424.242755889893,8,365.584006784282,26
"841","01DTV0121G",469.220374213325,9,435.666156005859,10,484.270337785993,7,463.052289335059,26
"842","01DTV0123E",429.743741989136,16,427.675113075658,19,466.277546473912,14,441.232133846235,49
"843","01DTV0124D",409.207583957248,9,462.710408528646,9,531.05568101671,9,467.657891167535,27
"844","01DTV0157V",362.717420305525,7,361.052314758301,6,396.964528401693,6,373.578087821839,19
"845","01DTV0014Y",431.278057861328,5,495.207827481357,11,532.901222229004,8,486.462369190563,24
"846","01DTV0061I",444.240308973524,36,425.276542849657,41,480.787507592178,41,450.101453138453,118
"847","01DTV0073N",427.459139506022,36,392.839708862305,25,471.127274649484,28,430.47537433927,89
"848","01DTV0092B",394.327545166016,6,399.874171665737,7,438.317153930664,8,410.839623587472,21
"849","01DTV0126B",524.692199707031,23,494.3271484375,14,461.579121180943,14,493.532823108491,51
"850","01DTV0127A",482.437133789062,6,534.563659667969,1,491.806884765625,3,502.935892740885,10
"851","01DTV0129Z",431.927571614583,6,416.534797668457,4,477.260772705078,5,441.907713996039,15
"852","01DTV0131N",413.846760431925,24,410.900515104595,19,446.712016712536,22,423.819764083019,65
"853","01DES0004L",490.68243751803,413,477.914143050344,380,497.913282171613,351,488.836620913329,1144
"854","01DES0012U",504.032026977539,150,490.784280232021,112,542.514817476273,128,512.443708228611,390
"855","01DES0037C",465.578135722392,37,430.478117879232,30,462.248975481306,35,452.76840969431,102
"856","01DST0007A",478.526352826287,51,504.195887788813,47,505.421870117187,25,496.048036910763,123
"857","01DST0033Z",416.733622233073,36,442.678959614522,37,491.48184751853,39,450.298143122041,112
"858","01PST0001L",556.477001081194,35,530.143687947591,30,515.061485290527,40,533.894058106438,105
"859","01DST0009Z",476.443109130859,130,467.512403728581,119,511.623127016814,115,485.192879958752,364
"860","01DTV0039G",453.396012079148,21,482.88772837321,12,482.560461861747,14,472.948067438035,47
"861","01DTV0074M",458.430637974893,31,408.434759140015,16,441.329548427037,14,436.064981847315,61
"862","01DTV0075L",463.568116455078,25,425.599011230469,20,513.91494473544,22,467.694024140329,67
"863","01DTV0132M",428.654737067945,33,487.744555664062,25,497.094432067871,20,471.164574933293,78
"864","01DTV0134K",458.891513061523,30,483.479416910807,30,455.395914713542,21,465.922281561958,81
"865","01DTV0160I",426.99629452354,19,441.07025864545,17,507.943084716797,13,458.669879295262,49
"866","01DST0004D",452.525101632783,198,434.632589473281,172,547.757211452577,164,478.304967519547,534
"867","01DTV0005Q",407.979825973511,16,421.218649727958,14,475.653609566067,23,434.950695089178,53
"868","01DTV0009M",408.374383544922,20,440.549748959749,23,485.442758178711,20,444.788963561127,63
"869","01DTV0051B",425.281080322266,25,479.836655836839,26,479.659827270508,25,461.592521143204,76
"870","01DTV0052A",499.397158813477,10,476.940302530924,6,560.405312674386,7,512.247591339596,23
"871","01DTV0070Q",412.131576011921,29,420.404063783843,29,473.398813555318,31,435.31148445036,89
"872","01DTV0076K",449.738737792969,25,544.238814217704,28,509.630473475302,31,501.202675161992,84
"873","01DTV0077J",469.69603729248,16,451.846936394187,17,511.109377543132,12,477.550783743266,45
"874","01DTV0078I",427.991751098633,20,494.319943745931,12,511.55390514027,11,477.955199994945,43
"875","01DTV0135J",391.330795288086,24,408.290893554688,13,449.411716715495,15,416.344468519423,52
"876","01DTV0137H",540.684596761068,15,546.402611365685,13,527.396795654297,15,538.161334593683,43
"877","01DTV0162G",381.680652965199,11,473.342346191406,16,522.567581176758,12,459.196860111121,39
"878","01DTV0165D",435.664783872407,29,450.838091763583,22,525.490656072443,22,470.664510569478,73
"879","01DTV0020I",484.924667358398,49,481.18163026054,53,514.978572016177,46,493.694956545038,148
"880","01DTV0046Q",390.267460414342,7,376.895718661222,11,459.003158569336,10,408.7221125483,28
"881","01DTV0066D",489.133321321928,52,463.853015038275,62,495.828932109632,38,482.938422823278,152
"882","01DTV0080X",429.430125045776,40,460.854421343122,28,464.330079298753,26,451.538208562551,94
"883","01DTV0138G",441.9708855523,45,436.210321125231,38,475.562279485887,31,451.24782872114,114
"884","01DTV0140V",426.305145263672,4,478.922444661458,6,452.246486663818,8,452.491358862983,18
"885","01DTV0173M",423.915285447065,34,479.961808054071,19,481.225775400798,24,461.700956300644,77
"886","01DST0010O",445.701081987679,339,436.46126110719,303,474.024314387216,263,452.062219160695,905
"887","01DST0028N",447.246395344136,311,430.427197946495,251,478.000848034111,241,451.891480441581,803
"888","01DST0032Z",482.605953067928,77,452.87517339533,66,533.925775360643,57,489.802300607967,200
"889","01PES0029Z",517.816029618426,41,483.490760040283,40,510.651234944661,27,503.986008201124,108
"890","01PES0036I",457.733965705423,17,446.711239624023,10,521.291915230129,23,475.245706853192,50
"891","01DTV0018U",474.717632770538,64,451.439705050721,49,515.998559457284,54,480.718632426181,167
"892","01DTV0036J",507.326930745443,15,471.032873971122,14,471.088373819987,12,483.149392845517,41
"893","01DTV0079H",388.363100918857,11,396.481212909405,13,429.117661909624,11,404.653991912628,35
"894","01DTV0139F",518.491040910993,7,432.345319475446,7,467.562049018012,18,472.799469801484,32
"895","01DTV0172N",444.786502075195,10,397.080312093099,9,485.768000284831,12,442.544938151042,31
"896","01DTV0174L",383.47776184082,10,429.949075317383,10,454.824818929036,6,422.75055202908,26
"897","01DES0018O",498.940676719264,285,482.280276314157,244,509.20737920613,219,496.80944407985,748
"898","01DES0036D",590.623891002727,159,542.367419538827,145,599.287815974309,104,577.426375505288,408
"899","01DST0039T",435.512612043108,210,456.029461392489,165,472.761167158992,161,454.767746864863,536
"900","01PES0022F",572.412275834517,11,651.679893493652,8,463.583928426107,6,562.558699251425,25
"901","01PES0058U",497.465705871582,16,429.143336369441,13,0,0,308.869680747008,29
"902","01PES0068A",399.529913330078,5,0,0,0,0,133.176637776693,5
"903","01DTV0021H",411.743880839287,79,430.69180844435,67,471.090853736514,63,437.842181006717,209
"904","01DTV0022G",482.625148607337,23,402.492982410249,21,418.223964146205,14,434.447365054597,58
"905","01DTV0081W",378.486100416917,26,449.150614420573,15,441.101888803335,13,422.912867880275,54
"906","01DTV0082V",367.164197649275,7,338.928970336914,10,464.476977539062,5,390.190048508417,22
"907","01DTV0093A",443.97053527832,8,429.1802734375,10,514.413324991862,6,462.521377902561,24
"908","01DTV0141U",462.45513381958,40,413.602887471517,30,584.313393428408,29,486.790471573168,99
"909","01DTV0164E",318.215426974826,9,389.54870060512,14,482.89945765904,14,396.887861746329,37
"910","01DTV0181V",416.47802558312,52,382.138267339662,43,414.435722883358,43,404.35067193538,138
"911","01DST0003E",492.305431365967,312,469.66908335606,299,500.682029512193,288,487.552181411407,899
"912","01DST0023S",451.154943502174,265,452.589451599121,210,502.924823619701,216,468.889739573666,691
"913","01PES0066C",525.189844767253,12,468.89625784067,13,537.993231201172,10,510.693111269698,35
"914","01DTV0023F",401.877456665039,11,444.518156163833,17,489.868571690151,14,445.421394839674,42
"915","01DTV0038H",398.463694254557,93,417.571404882224,83,425.005951838707,67,413.680350325163,243
"916","01DTV0056X",369.385446548462,16,346.904026911809,13,417.246588570731,14,377.845354010334,43
"917","01DTV0068B",440.07667092716,17,450.061359950474,28,523.599268595378,24,471.245766491004,69
"918","01DTV0083U",424.697239595301,34,412.762378268772,27,404.90946490948,26,414.123027591184,87
"919","01DTV0142T",551.293579101562,7,531.427886962891,11,523.720084450462,11,535.480516838305,29
"920","01DTV0143S",400.287161020132,13,499.116634114583,15,458.929563522339,16,452.777786219018,44
"921","01DTV0144R",396.997868855794,12,385.424752807617,10,400.537713623047,10,394.320111762153,32
"922","01DTV0166C",463.117298799403,17,481.137152099609,15,480.336093300267,19,474.863514733093,51
"923","01DTV0176J",426.770192464193,12,456.375879624311,17,424.996494459069,23,436.047522182524,52
"924","01DES0003M",470.670138293299,464,450.737182027643,440,497.794496235095,418,473.067272185346,1322
"925","01DES0020C",517.363058313147,77,511.771308898926,70,533.547514900329,63,520.893960704134,210
"926","01DST0019F",449.464873013431,146,417.229211448727,133,471.875444315248,118,446.189842925802,397
"927","01PES0060I",550.293420791626,16,500.382432556152,20,485.28495392976,27,511.986935759179,63
"928","01DST0011N",462.429371070862,240,459.534933847094,252,509.246310736209,245,477.070205218055,737
"929","01DTV0002T",515.298930969238,100,481.832885222001,88,532.754415724013,72,509.962077305084,260
"930","01DTV0004R",458.11812046596,56,489.592643179545,41,484.936454898021,61,477.549072847842,158
"931","01DTV0041V",398.436184790827,31,444.495287665005,29,434.989378752532,27,425.973617069455,87
"932","01DTV0084T",444.363708496094,14,487.656433105469,8,435.405420939128,18,455.808520846897,40
"933","01DTV0085S",467.112811618381,18,474.20425008138,15,419.332255643957,17,453.549772447906,50
"934","01DTV0145Q",421.341139729818,15,433.139881134033,8,408.051409912109,10,420.844143591987,33
"935","01DTV0146P",488.855769070712,44,471.461355209351,32,510.471740029075,44,490.262954769713,120
"936","01DTV0148N",478.888348897298,24,480.532679507607,19,507.273608039407,17,488.898212148104,60
"937","01DTV0168A",414.094201660156,5,444.516412353516,5,445.278461803089,11,434.62969193892,21
"938","01DTV0177I",429.106787109375,10,328.818405151367,6,417.923617892795,9,391.949603384512,25
"939","01DTV0179G",431.537184172986,102,441.572113934685,85,469.204388838548,52,447.43789564874,239
"940","01DST0006B",458.266119730841,97,463.496548189975,101,573.42287902832,90,498.395182316379,288
"941","01DTV0040W",454.818895780123,26,450.690622430099,19,593.519799804688,15,499.676439338303,60
"942","01DTV0149M",427.681644070533,31,371.985791806821,27,495.980558975883,23,431.882664951079,81
"943","01DTV0150B",437.957041422526,12,414.563820975167,14,400.55980355399,14,417.693555317228,40
"944","01DTV0151A",397.024826049805,6,435.006675720215,4,0,0,277.34383392334,10
