"","cct","cal_mat1","N1","cal_mat2","N2","cal_mat3","N3","PromedioSecundaria","NTotal"
"786","01PES0039F",629.771325005425,9,563.404671223958,15,619.849046186967,11,604.34168080545,35
"787","01PES0061H",619.7189913663,11,595.164901733398,6,574.821233575994,11,596.568375558564,28
"788","01DTV0030P",528.157795873182,29,591.91423119439,36,574.119430541992,16,564.730485869855,81
"789","01DTV0049N",436.493742246886,37,541.725756327311,48,488.521889134457,38,488.913795902885,123
"790","01DTV0050C",602.534843444824,12,497.708972930908,8,544.181387329102,10,548.141734568278,30
"791","01DTV0057W",504.553678240095,28,504.301433216442,33,547.008696525328,31,518.621269327288,92
"792","01DTV0060J",466.637781943044,31,502.547831217448,21,572.518256293403,18,513.901289817965,70
"793","01DTV0106O",609.421148300171,16,625.60114440918,20,545.887245178223,12,593.636512629191,48
"794","01DTV0107N",460.699294350364,44,546.432339754972,22,553.184992472331,30,520.105542192555,96
"795","01DTV0108M",439.856447660006,13,473.058197021484,20,473.547543733016,23,462.154062804836,56
"796","01DTV0180W",491.785658772786,15,528.340039934431,14,643.913982684796,13,554.679893797338,42
"797","01DTV0029Z",597.272129939153,13,609.119578770229,14,616.083508809408,12,607.49173917293,39
"798","01DTV0095Z",565.514799230239,17,818.452655498798,13,499.356303821911,11,627.774586183649,41
"799","01DTV0096Y",660.349087524414,20,739.678270612444,14,761.704191788383,23,720.577183308414,57
"800","01DTV0097X",506.399879455566,4,506.181846618652,8,503.272388458252,8,505.284704844157,20
"801","01DTV0098W",583.757508248994,33,534.708659245418,26,522.245288085938,20,546.903818526783,79
"802","01DTV0099V",503.169888583097,11,596.39106968471,7,501.043512980143,6,533.534823749317,24
"803","01DTV0100U",0,0,573.56233215332,10,628.300634765625,5,400.620988972982,15
"804","01DTV0101T",567.294109637921,13,546.152931213379,8,784.386637369792,6,632.611226073697,27
"805","01DTV0111Z",486.734235127767,12,593.027856009347,14,643.322326660156,9,574.36147259909,35
"806","01DTV0010B",464.546340070452,35,504.054059709821,35,536.23012638092,32,501.610175387065,102
"807","01DTV0048O",489.772248366783,29,487.646739344443,31,573.600229899089,18,517.006405870105,78
"808","01DTV0053Z",528.42679636102,19,677.956632726333,17,646.593710327148,20,617.6590464715,56
"809","01DTV0054Z",574.407344273159,7,635.844082786923,21,473.193326677595,14,561.148251245892,42
"810","01DTV0069A",480.86115626285,76,519.554446084159,56,577.881964917453,53,526.099189088154,185
"811","01DTV0071P",486.627995417668,13,560.76001739502,16,607.033527374268,16,551.473846728985,45
"812","01DTV0110A",498.375872160259,19,557.271948678153,14,576.149356842041,16,543.932392560151,49
"813","01DTV0117U",526.381383559283,17,569.659008789062,15,562.46054311899,13,552.833645155779,45
"814","01DTV0118T",702.163571006373,19,539.177574157715,16,499.715399605887,14,580.352181589992,49
"815","01DTV0147O",456.112289428711,8,457.777854919434,8,506.697280883789,8,473.529141743978,24
"816","01DTV0167B",502.783922831217,12,627.568132672991,7,427.481043035334,11,519.277699513181,30
"817","01DTV0011A",452.294132232666,16,562.188167572021,16,605.313873291016,16,539.932057698568,48
"818","01DTV0012Z",491.943098397091,29,537.806670125325,30,545.33012898763,27,525.026632503349,86
"819","01DTV0035K",747.408673967634,21,662.115240914481,28,693.32341003418,20,700.949108305431,69
"820","01DTV0047P",500.357810974121,24,649.020360310872,18,644.613775956003,19,597.997315746999,61
"821","01DTV0072O",624.433822631836,22,525.316465377808,16,594.544662475586,10,581.431650161743,48
"822","01DTV0102S",481.686074961787,23,515.363972473144,20,462.180242629278,21,486.41009668807,64
"823","01DTV0112Z",672.32878112793,12,502.631746419271,15,522.99116007487,12,565.983895874023,39
"824","01DTV0113Y",548.77812906901,15,606.079501681858,18,517.353926438552,13,557.403852396473,46
"825","01DTV0114X",488.875744047619,21,611.338558620877,18,853.843560469778,19,651.352621046091,58
"826","01DTV0115W",783.69683516653,19,512.403130425347,9,729.560546875,13,675.220170822292,41
"827","01DTV0119S",430.580537414551,20,537.943476059858,17,578.287051391602,20,515.60368828867,57
"828","01DTV0120H",534.085778808594,5,631.895252574574,11,558.502028031783,11,574.82768647165,27
"829","01DTV0159T",671.33935546875,10,449.551040649414,10,597.990692138672,11,572.960362752279,31
"830","01DST0008Z",467.027066744291,143,494.859838031587,168,538.555158228656,153,500.147354334845,464
"831","01DST0015J",486.132564133864,65,475.730548623167,81,525.020619592001,86,495.627910783011,232
"832","01DST0016I",444.903517098262,116,456.517903254582,78,475.087637847325,106,458.83635273339,300
"833","01DTV0015X",710.283440483941,9,517.29739634196,12,618.236456976997,9,615.272431267632,30
"834","01DTV0016W",548.134613037109,9,491.199282132662,13,534.279599703275,13,524.537831624349,35
"835","01DTV0087Q",418.41633605957,40,515.276062011719,26,536.138652038574,20,489.943683369954,86
"836","01DTV0088P",497.819618225098,12,515.579016113281,15,577.935553656684,18,530.444729331688,45
"837","01DTV0089O",452.766535441081,18,734.73762512207,6,457.356959025065,6,548.287039862739,30
"838","01DTV0090D",464.379306030273,10,459.081089564732,7,490.505285644531,15,471.321893746512,32
"839","01DTV0091C",554.902048746745,24,536.701289585659,14,539.401619651101,22,543.668319327835,60
"840","01DTV0109L",356.198957963423,11,443.455400739397,7,442.807865142822,8,414.154074615214,26
"841","01DTV0121G",506.845937093099,9,697.217111206055,10,590.631212506975,7,598.23142026871,26
"842","01DTV0123E",400.909208297729,16,515.942747417249,19,517.503943307059,14,478.118633007346,49
"843","01DTV0124D",476.746385362413,9,514.543202718099,9,549.612552218967,9,513.634046766493,27
"844","01DTV0157V",336.13616507394,7,369.123438517253,6,435.504516601562,6,380.254706730918,19
"845","01DTV0014Y",463.603540039063,5,555.037830699574,11,538.373516082764,8,519.0049622738,24
"846","01DTV0061I",485.016139560276,36,513.487381353611,41,529.465605200791,41,509.323042038226,118
"847","01DTV0073N",462.578790452745,36,498.621904296875,25,485.349632263184,28,482.183442337601,89
"848","01DTV0092B",435.82036336263,6,434.606693812779,7,444.148040771484,8,438.191699315631,21
"849","01DTV0126B",581.653955874236,23,564.794189453125,14,506.690734863281,14,551.046293396881,51
"850","01DTV0127A",653.466232299805,6,602.412536621094,1,577.985605875651,3,611.288124932183,10
"851","01DTV0129Z",516.870234171549,6,505.119743347168,4,488.799279785156,5,503.596419101291,15
"852","01DTV0131N",457.880153656006,24,474.460826673006,19,498.916213989258,22,477.085731439423,65
"853","01DES0004L",524.40128272844,413,546.597865616648,380,548.416001974687,351,539.805050106592,1144
"854","01DES0012U",548.658446044922,150,522.463865007673,112,537.599130153656,128,536.240480402084,390
"855","01DES0037C",531.447346455342,37,504.537492879232,30,493.718698556083,35,509.901179296885,102
"856","01DST0007A",503.32803404565,51,560.264509485123,47,524.798382568359,25,529.463642033044,123
"857","01DST0033Z",442.30227915446,36,505.157604320629,37,478.415388840895,39,475.291757438661,112
"858","01PST0001L",560.431903948103,35,545.379236857096,30,498.59768371582,40,534.802941507006,105
"859","01DST0009Z",495.676541255071,130,474.642172164276,119,529.054578167459,115,499.791097195602,364
"860","01DTV0039G",493.519606817336,21,530.65796661377,12,498.683715820312,14,507.620429750473,47
"861","01DTV0074M",495.343060893397,31,506.595668792725,16,498.676158360073,14,500.204962682065,61
"862","01DTV0075L",524.983161621094,25,550.404371643066,20,505.07985756614,22,526.8224636101,67
"863","01DTV0132M",469.849782307943,33,575.750695800781,25,579.541569519043,20,541.714015875922,78
"864","01DTV0134K",518.181960042318,30,590.656120808919,30,526.722526913597,21,545.186869254945,81
"865","01DTV0160I",476.387737073396,19,547.161956787109,17,572.11953500601,13,531.889742955505,49
"866","01DST0004D",473.61915572966,198,487.234132278797,172,498.850695726348,164,486.567994578268,534
"867","01DTV0005Q",443.535203933716,16,492.940373011998,14,534.139840830927,23,490.20513925888,53
"868","01DTV0009M",443.160488891602,20,520.317417310632,23,556.832388305664,20,506.770098169299,63
"869","01DTV0051B",442.917207641602,25,517.283055232121,26,520.536002197266,25,493.578755023663,76
"870","01DTV0052A",500.975820922852,10,542.77207438151,6,650.662501743862,7,564.803465682741,23
"871","01DTV0070Q",470.345042261584,29,568.622476511988,29,497.280309861706,31,512.082609545093,89
"872","01DTV0076K",527.608865966797,25,618.220674787249,28,603.341256418536,31,583.056932390861,84
"873","01DTV0077J",602.93861579895,16,551.429428998162,17,712.971516927083,12,622.446520574732,45
"874","01DTV0078I",505.085917663574,20,562.328521728516,12,602.808715820312,11,556.741051737468,43
"875","01DTV0135J",458.161590576172,24,455.330552321214,13,528.379376220703,15,480.62383970603,52
"876","01DTV0137H",571.739208984375,15,592.311002291166,13,617.59170328776,15,593.880638187767,43
"877","01DTV0162G",430.811949296431,11,659.818796157837,16,577.856880187988,12,556.162541880752,39
"878","01DTV0165D",484.572711813039,29,495.672479802912,22,577.000292691317,22,519.081828102423,73
"879","01DTV0020I",481.191438636001,49,525.842205119583,53,549.90671705163,46,518.980120269071,148
"880","01DTV0046Q",402.378596714565,7,425.57084794478,11,524.939038085937,10,450.962827581761,28
"881","01DTV0066D",535.137805645282,52,499.190846596995,62,528.054622449373,38,520.794424897217,152
"882","01DTV0080X",460.806687927246,40,497.587396894182,28,504.328662578876,26,487.574249133435,94
"883","01DTV0138G",498.443681504991,45,541.270082172595,38,535.908788865612,31,525.207517514399,114
"884","01DTV0140V",465.719245910645,4,497.691004435221,6,522.724933624268,8,495.378394656711,18
"885","01DTV0173M",434.450159409467,34,507.636607923006,19,490.190872192383,24,477.425879841618,77
"886","01DST0010O",459.03035756339,339,477.829627512312,303,506.128311099208,263,480.99609872497,905
"887","01DST0028N",451.914282452255,311,465.704681031732,251,493.671017468718,241,470.429993650902,803
"888","01DST0032Z",510.65474968452,77,503.370781638406,66,522.499778346012,57,512.175103222979,200
"889","01PES0029Z",500.867411543683,41,508.102024841309,40,562.666482430917,27,523.878639605303,108
"890","01PES0036I",494.669103285846,17,454.685040283203,10,515.758735988451,23,488.3709598525,50
"891","01DTV0018U",516.820932388306,64,500.317286277304,49,578.588491369177,54,531.908903344929,167
"892","01DTV0036J",585.700233968099,15,547.222584315709,14,548.960764567057,12,560.627860950288,41
"893","01DTV0079H",361.373948530717,11,446.968862680288,13,483.141543301669,11,430.494784837558,35
"894","01DTV0139F",472.796997070312,7,504.30457850865,7,491.456814236111,18,489.519463271691,32
"895","01DTV0172N",465.546356201172,10,505.814514160156,9,566.732706705729,12,512.697859022352,31
"896","01DTV0174L",452.351986694336,10,487.777130126953,10,522.282404581706,6,487.470507134332,26
"897","01DES0018O",520.966395488538,285,502.221288462154,244,529.274478720748,219,517.487387557147,748
"898","01DES0036D",570.506810602152,159,562.165960272427,145,616.968564253587,104,583.213778376055,408
"899","01DST0039T",448.012543741862,210,471.582653253729,165,478.626210467416,161,466.073802487669,536
"900","01PES0022F",600.617700750178,11,709.990661621094,8,452.325887044271,6,587.644749805181,25
"901","01PES0058U",494.907703399658,16,482.546191875751,13,0,0,325.817965091803,29
"902","01PES0068A",470.363409423828,5,0,0,0,0,156.787803141276,5
"903","01DTV0021H",444.055840600895,79,471.339759029559,67,523.698907276941,63,479.698168969132,209
"904","01DTV0022G",565.760368015455,23,502.551869710286,21,465.905029296875,14,511.405755674206,58
"905","01DTV0081W",386.737775949331,26,447.798258463542,15,467.884986290565,13,434.140340234479,54
"906","01DTV0082V",390.567347935268,7,404.209924316406,10,525.697082519531,5,440.158118257068,22
"907","01DTV0093A",500.764461517334,8,469.331784057617,10,489.857503255208,6,486.651249610053,24
"908","01DTV0141U",469.659107971191,40,555.156232706706,30,747.766336375269,29,590.860559017722,99
"909","01DTV0164E",403.374643961589,9,429.882609776088,14,597.943117414202,14,477.06679038396,37
"910","01DTV0181V",423.392334571252,52,440.185856309048,43,444.053053745004,43,435.877081541768,138
"911","01DST0003E",494.584430547861,312,493.376714597976,299,510.169659402635,288,499.376934849491,899
"912","01DST0023S",467.37144499005,265,502.639975411551,210,532.563470769812,216,500.858297057138,691
"913","01PES0066C",544.397598266602,12,540.979325514573,13,582.557565307617,10,555.978163029597,35
"914","01DTV0023F",456.321505459872,11,488.242724250345,17,444.392296927316,14,462.985508879178,42
"915","01DTV0038H",417.577620147377,93,464.724790274379,83,461.101821671671,67,447.801410697809,243
"916","01DTV0056X",428.360950469971,16,446.941612830529,13,461.223279680525,14,445.508614327008,43
"917","01DTV0068B",560.746454575483,17,530.147502354213,28,575.925950368245,24,555.606635765981,69
"918","01DTV0083U",522.437251371496,34,459.170082374855,27,445.302976168119,26,475.63676997149,87
"919","01DTV0142T",616.055986676897,7,515.891093860973,11,604.07763671875,11,578.674905752207,29
"920","01DTV0143S",430.068709153395,13,537.561732991536,15,508.802410125732,16,492.144284090221,44
"921","01DTV0144R",417.320874532064,12,454.12024230957,10,424.540417480469,10,431.993844774034,32
"922","01DTV0166C",466.397344252642,17,551.975754801432,15,537.686578047903,19,518.686559033993,51
