"","cct","Esp","Mat","NEsp","NMat","PromedioGeneral"
"109","01DTV0106O",490.509567048815,593.636512629191,48,48,542.073039839003
"110","01DTV0107N",460.931263709791,520.105542192555,96,96,490.518402951173
"111","01DTV0108M",411.536557867588,462.154062804836,56,56,436.845310336212
"112","01DTV0180W",449.379580632584,554.679893797338,42,42,502.029737214961
"113","01DTV0029Z",538.970055818849,607.49173917293,39,39,573.23089749589
"114","01DTV0095Z",492.338703659227,627.774586183649,41,41,560.056644921438
"115","01DTV0096Y",595.483803613635,720.577183308414,57,57,658.030493461024
"116","01DTV0097X",438.57009379069,505.284704844157,20,20,471.927399317423
"117","01DTV0098W",462.680607882413,546.903818526783,79,79,504.792213204598
"118","01DTV0099V",434.255739638644,533.534823749317,24,24,483.89528169398
"119","01DTV0100U",347.995540364583,400.620988972982,15,15,374.308264668782
"120","01DTV0101T",520.038335816473,632.611226073697,27,27,576.324780945085
"121","01DTV0111Z",471.001267973077,574.36147259909,35,35,522.681370286084
"122","01DTV0010B",476.292885171799,501.610175387065,102,102,488.951530279432
"123","01DTV0048O",455.355741758044,517.006405870105,78,78,486.181073814075
"124","01DTV0053Z",510.648955161899,617.6590464715,56,56,564.1540008167
"125","01DTV0054Z",540.516493782165,561.148251245892,42,42,550.832372514029
"126","01DTV0069A",476.520370453995,526.099189088154,185,185,501.309779771075
"127","01DTV0071P",463.092215122321,551.473846728985,45,45,507.283030925653
"128","01DTV0110A",451.468182045117,543.932392560151,49,49,497.700287302634
"129","01DTV0117U",469.546071732542,552.833645155779,45,45,511.18985844416
"130","01DTV0118T",530.686943073321,580.352181589992,49,49,555.519562331657
"131","01DTV0147O",414.00910059611,473.529141743978,24,24,443.769121170044
"132","01DTV0167B",466.113192471591,519.277699513181,30,30,492.695445992386
"133","01DTV0011A",472.209175745646,539.932057698568,48,48,506.070616722107
"134","01DTV0012Z",484.643772914817,525.026632503349,86,86,504.835202709083
"135","01DTV0035K",579.412886677091,700.949108305431,69,69,640.180997491261
"136","01DTV0047P",518.382230963159,597.997315746999,61,61,558.189773355079
"137","01DTV0072O",495.672660677361,581.431650161743,48,48,538.552155419552
"138","01DTV0102S",454.173433601585,486.41009668807,64,64,470.291765144827
"139","01DTV0112Z",466.638844129774,565.983895874023,39,39,516.311370001898
"140","01DTV0113Y",505.217870745971,557.403852396473,46,46,531.310861571222
"141","01DTV0114X",538.605232249393,651.352621046091,58,58,594.978926647742
"142","01DTV0115W",509.746159635753,675.220170822292,41,41,592.483165229022
"143","01DTV0119S",444.593890335981,515.60368828867,57,57,480.098789312325
"144","01DTV0120H",474.678348425663,574.82768647165,27,27,524.753017448656
"145","01DTV0159T",533.981901873964,572.960362752279,31,31,553.471132313122
"146","01DST0008Z",487.613078052434,500.147354334845,464,464,493.88021619364
"147","01DST0015J",497.937621887998,495.627910783011,232,232,496.782766335504
"148","01DST0016I",436.568131865364,458.83635273339,300,300,447.702242299377
"149","01DTV0015X",498.089078549986,615.272431267632,30,30,556.680754908809
"150","01DTV0016W",502.853928177445,524.537831624349,35,35,513.695879900897
"151","01DTV0087Q",442.828635523869,489.943683369954,86,86,466.386159446912
"152","01DTV0088P",487.442953265155,530.444729331688,45,45,508.943841298421
"153","01DTV0089O",427.781690244321,548.287039862739,30,30,488.03436505353
"154","01DTV0090D",428.270015244257,471.321893746512,32,32,449.795954495385
"155","01DTV0091C",466.6585963746,543.668319327835,60,60,505.163457851217
"156","01DTV0109L",365.584006784282,414.154074615214,26,26,389.869040699748
"157","01DTV0121G",463.052289335059,598.23142026871,26,26,530.641854801885
"158","01DTV0123E",441.232133846235,478.118633007346,49,49,459.675383426791
"159","01DTV0124D",467.657891167535,513.634046766493,27,27,490.645968967014
"160","01DTV0157V",373.578087821839,380.254706730918,19,19,376.916397276378
"161","01DTV0014Y",486.462369190563,519.0049622738,24,24,502.733665732181
"162","01DTV0061I",450.101453138453,509.323042038226,118,118,479.712247588339
"163","01DTV0073N",430.47537433927,482.183442337601,89,89,456.329408338435
"164","01DTV0092B",410.839623587472,438.191699315631,21,21,424.515661451552
"165","01DTV0126B",493.532823108491,551.046293396881,51,51,522.289558252686
"166","01DTV0127A",502.935892740885,611.288124932183,10,10,557.112008836534
"167","01DTV0129Z",441.907713996039,503.596419101291,15,15,472.752066548665
"168","01DTV0131N",423.819764083019,477.085731439423,65,65,450.452747761221
"169","01DES0004L",488.836620913329,539.805050106592,1144,1144,514.32083550996
"170","01DES0012U",512.443708228611,536.240480402084,390,390,524.342094315347
"171","01DES0037C",452.76840969431,509.901179296885,102,102,481.334794495598
"172","01DST0007A",496.048036910763,529.463642033044,123,123,512.755839471904
"173","01DST0033Z",450.298143122041,475.291757438661,112,112,462.794950280351
"174","01PST0001L",533.894058106438,534.802941507006,105,105,534.348499806722
"175","01DST0009Z",485.192879958752,499.791097195602,364,364,492.491988577177
"176","01DTV0039G",472.948067438035,507.620429750473,47,47,490.284248594254
"177","01DTV0074M",436.064981847315,500.204962682065,61,61,468.13497226469
"178","01DTV0075L",467.694024140329,526.8224636101,67,67,497.258243875215
"179","01DTV0132M",471.164574933293,541.714015875922,78,78,506.439295404607
"180","01DTV0134K",465.922281561958,545.186869254945,81,81,505.554575408452
"181","01DTV0160I",458.669879295262,531.889742955505,49,49,495.279811125384
"182","01DST0004D",478.304967519547,486.567994578268,534,534,482.436481048907
"183","01DTV0005Q",434.950695089178,490.20513925888,53,53,462.577917174029
"184","01DTV0009M",444.788963561127,506.770098169299,63,63,475.779530865213
"185","01DTV0051B",461.592521143204,493.578755023663,76,76,477.585638083434
