"","cct","Promedio2011","Promedio2010","Promedio2009"
"188","01DTV0137H",593.880638187767,507.057155730232,518.29680201492
"189","01DTV0138G",525.207517514399,541.139664487658,520.296717739091
"190","01DTV0139F",489.519463271691,520.072131525272,496.918164772962
"191","01DTV0140V",495.378394656711,492.545931752523,422.551819412797
"192","01DTV0141U",590.860559017722,545.320668199327,466.900313467931
"193","01DTV0142T",578.674905752207,528.832112476079,447.791670982284
"194","01DTV0143S",492.144284090221,494.693562765682,466.419979698829
"195","01DTV0144R",431.993844774034,525.843639766809,436.013140759437
"196","01DTV0145Q",446.231331464979,475.827365101126,452.259704670578
"197","01DTV0146P",509.077960910219,502.685148498552,495.910431242487
"198","01DTV0147O",473.529141743978,486.342024909125,463.609535756737
"199","01DTV0148N",524.82219651691,539.682613190776,520.458334935176
"200","01DTV0149M",463.058480619949,495.467169229086,510.734354880025
"201","01DTV0150B",511.36803254627,519.083939074491,475.940628921204
"202","01DTV0151A",328.781567891439,334.640813191732,294.402622041248
"203","01DTV0152Z",582.562622151047,528.440015157064,514.287557531286
"204","01DTV0153Z",564.955534578574,458.473089225747,487.256266421363
"205","01DTV0154Y",505.637415911155,570.362828290021,537.094637835467
"206","01DTV0155X",602.781914399529,569.797517469069,529.63722406859
"207","01DTV0156W",734.806190208153,669.979264322917,482.786078332972
"208","01DTV0157V",380.254706730918,603.247903975229,516.666550893632
"209","01DTV0159T",572.960362752279,466.973394573244,435.291427843498
"210","01DTV0160I",531.889742955505,573.901428934903,524.051192734733
"211","01DTV0162G",556.162541880752,574.943851458103,522.216517246131
"212","01DTV0163F",408.994985953841,576.246721291657,470.399660895852
"213","01DTV0164E",477.06679038396,482.706560601129,466.668341975326
"214","01DTV0165D",519.081828102423,548.549274341827,518.429194757116
"215","01DTV0166C",518.686559033993,520.151760980094,489.024344715218
"216","01DTV0167B",519.277699513181,458.600069257948,449.855826926954
"217","01DTV0168A",548.289785489169,488.800633748372,412.452414053458
"218","01DTV0169Z",629.654995509556,554.469139268663,436.40005160245
"219","01DTV0171O",751.582677760269,688.342374512643,514.434627109104
"220","01DTV0172N",512.697859022352,542.23932432517,496.050320225903
"221","01DTV0173M",477.425879841618,519.283081683535,484.697525918363
"222","01DTV0174L",487.470507134332,518.786064790154,546.1743756047
"223","01DTV0176J",524.154796122285,512.327537367079,478.349836312798
"224","01DTV0177I",432.41397829409,468.894224098401,484.850920326689
"225","01DTV0178H",539.931903245714,538.752519819472,469.13276294154
"226","01DTV0179G",491.366619711176,509.797113837925,511.817653742227
"227","01DTV0180W",554.679893797338,583.854998030669,517.756315503802
"228","01DTV0181V",435.877081541768,467.896002993376,454.99976867618
"229","01DTV0183T",550.62068448304,595.797860967625,613.172212346395
"230","01DTV0184S",496.076023294468,515.915088229709,464.650452238141
"231","01DTV0185R",489.020036243257,476.070308737667,504.770568503355
"232","01KTV0004A",611.530917697483,554.497965494792,597.883931477865
"233","01KTV0006Z",198.655309041341,NA,NA
"234","01KTV0007Y",440.086242675781,305.15724351671,418.3672036065
"235","01KTV0008X",493.086916968936,525.670312064035,506.467180887858
"236","01KTV0009W",275.224785698785,302.313176472982,331.50271097819
"237","01KTV0011K",305.952487521701,599.253438313802,505.397707621257
"238","01KTV0016F",492.445894029405,456.256683349609,389.066485934787
"239","01KTV0017E",471.775487263997,513.041311475966,460.580830044217
"240","01KTV0018D",531.907363891602,517.447982788086,478.972356160482
"241","01KTV0019C",438.955027294664,478.126034800212,451.953519015842
"242","01KTV0020S",514.605851915148,519.198689778646,313.76173570421
"243","01KTV0021R",404.284225463867,NA,NA
"244","01KTV0022Q",264.049138387044,NA,NA
"245","01PES0002S",595.622624288431,599.65804509004,615.380888963252
"246","01PES0003R",617.693428562793,605.701383542533,631.888195072872
"247","01PES0004Q",646.474368478114,642.419691300004,641.224396390615
"248","01PES0006O",559.148494232816,548.278479692011,558.884645386723
"249","01PES0008M",675.19368410164,629.656054618419,645.974241856908
"250","01PES0009L",596.767127976191,588.701953359807,576.674859516524
"251","01PES0010A",613.392234776858,609.346161405064,602.207694122111
"252","01PES0011Z",468.275249339916,526.758576041291,515.742101174814
"253","01PES0012Z",678.843239370019,675.506430761134,672.526252350044
"254","01PES0020H",544.132148136578,545.950450138413,542.953605858187
"255","01PES0022F",587.644749805181,585.900481330024,563.878669133262
"256","01PES0023E",735.575363498264,671.871370442708,665.437439643012
"257","01PES0024D",607.709168415641,619.715601435869,614.064371600259
"258","01PES0027A",569.367086009188,543.382476479667,556.891667363805
"259","01PES0029Z",523.878639605303,559.675373587218,552.756575400655
"260","01PES0030O",539.24231538062,512.057723827422,531.478658534862
"261","01PES0031N",584.94785942917,575.673994878655,619.41663869943
"262","01PES0033L",560.703394503896,552.798318654419,552.62755631158
"263","01PES0034K",526.568913599828,566.846275995648,576.19769827589
"264","01PES0035J",573.538745750145,561.806189274864,564.254067086877
"265","01PES0036I",488.3709598525,491.656427753257,525.012025621202
"266","01PES0037H",669.833533150809,664.36449073252,662.470218712227
"267","01PES0039F",604.34168080545,567.396136766269,554.806759530527
"268","01PES0040V",583.362861657521,548.416023966471,544.411481923467
"269","01PES0041U",630.531555956535,638.517629715331,666.984734345469
"270","01PES0044R",422.976727623731,507.845670185392,287.501705593533
"271","01PES0045Q",535.849258947625,553.003410559589,568.904228171697
"272","01PES0046P",515.306754117914,524.341088553425,500.015423344531
"273","01PES0047O",317.245763142904,NA,323.369570414225
"274","01PES0048N",669.852150773413,633.803035253631,656.615354348041
"275","01PES0050B",669.125854615491,672.265833970423,641.921766998421
"276","01PES0051A",706.473487981787,679.53801686371,680.883178018984
"277","01PES0052Z",449.022128513881,467.652685219901,493.179785471114
"278","01PES0053Z",607.323458006888,655.576282246908,643.311302354601
"279","01PES0054Y",532.527296515483,524.346227300735,540.250191730002
"280","01PES0055X",591.93728451199,672.765698890546,645.548779155957
"281","01PES0056W",553.333645028289,530.148053685881,510.136190227067
"282","01PES0057V",586.09476312708,516.677991994222,512.138686821475
"283","01PES0058U",325.817965091803,391.064120306485,587.600201046656
"284","01PES0059T",590.513394419352,570.854373425827,576.681498141819
"285","01PES0060I",537.027142004319,504.466789750113,330.417542478773
"286","01PES0061H",596.568375558564,573.473571183946,360.180872417632
"287","01PES0062G",650.388586465936,646.896192344236,416.104204531069
"288","01PES0063F",569.115969074562,579.627743481833,400.200693139707
"289","01PES0064E",325.468904848452,427.835518900553,199.057818094889
"290","01PES0065D",543.652112071572,604.220312643459,394.355620705472
"291","01PES0066C",555.978163029597,358.611403571235,182.186386673539
"292","01PES0067B",609.411907332983,452.84312608507,NA
"293","01PES0068A",156.787803141276,NA,NA
"294","01PST0001L",534.802941507006,541.166684973842,520.968482269315
"295","01PST0004I",575.309206644694,570.480632828221,548.075229560004
"296","01PST0005H",508.080179614871,522.07886651935,481.352847339117
"297","01PST0006G",632.840882623684,639.670973714193,643.921273300071
"298","01PST0007F",495.295852374893,516.895716914424,502.571176429147
"299","02DES0001N",491.346738948987,510.34493623443,487.821946443168
"300","02DES0002M",500.064349466977,470.85370390722,517.695241463963
"301","02DES0003L",568.846568872391,572.577010391105,570.778210868296
"302","02DES0004K",515.847424843743,524.437577944115,526.172630346695
"303","02DES0005J",468.50379013054,477.457771032258,479.48439751925
"304","02DES0006I",489.526946122515,489.972743707533,490.961159430786
"305","02DES0007H",434.33625614133,421.257282738401,457.305126228383
"306","02DES0008G",489.387345174086,456.125262930734,484.390902726483
"307","02DES0009F",416.92884988151,456.360712740898,448.987522076281
"308","02DES0010V",498.987333253573,499.663484116844,500.777020208138
"309","02DES0011U",496.330642329798,493.089271942063,492.092238974368
"310","02DES0012T",524.367631223583,523.613229567591,516.836527731812
"311","02DES0013S",476.01072398227,465.334894334503,508.261452912329
"312","02DES0014R",455.871199182406,474.88901783109,461.869319874274
"313","02DES0015Q",466.086575377021,483.219136019975,486.513010350466
