"","cct","cal_new1","N1","cal_new2","N2","cal_new3","N3","PromedioSecundaria","NTotal"
"2692","02DST0019E",484.976293496525,340,0,304,0,291,161.658764498842,935
"2693","02DST0020U",452.233015714636,207,0,191,0,143,150.744338571545,541
"2694","02DST0022S",536.879477313884,515,0,496,0,451,178.959825771295,1462
"2695","02DST0024Q",475.054487113493,83,0,83,0,58,158.351495704498,224
"2696","02DST0025P",487.924036132812,375,0,361,0,364,162.641345377604,1100
"2697","02DST0029L",479.352289782905,386,0,348,0,292,159.784096594302,1026
"2698","02DST0036V",478.150940852379,67,0,68,0,55,159.383646950793,190
"2699","02DST0039S",478.291344137753,34,0,31,0,31,159.430448045918,96
"2700","02DST0048Z",492.47228223224,43,0,21,0,24,164.157427410747,88
"2701","02DTV0001T",425.892791748047,5,0,6,0,3,141.964263916016,14
"2702","02DTV0002S",450.481128399189,13,0,2,0,2,150.160376133063,17
"2703","02DTV0004Q",410.282165527344,3,0,4,0,0,136.760721842448,7
"2704","02DTV0006O",481.107272677951,9,0,6,0,5,160.36909089265,20
"2705","02DTV0007N",514.23657503995,11,0,9,0,0,171.412191679983,20
"2707","02DTV0009L",500.076080322266,4,0,1,0,1,166.692026774089,6
"2708","02DTV0010A",453.365243094308,7,0,4,0,4,151.121747698103,15
"2709","02DTV0011Z",410.374145507812,7,0,7,0,4,136.791381835938,18
"2710","02DTV0012Z",515.457244873047,2,0,2,0,1,171.819081624349,5
"2711","02DTV0015W",547.094970703125,2,0,5,0,4,182.364990234375,11
"2712","02DTV0016V",415.765998840332,8,0,3,0,3,138.588666280111,14
"2713","02DTV0017U",419.701422119141,5,0,4,0,2,139.900474039714,11
"2714","02DTV0018T",431.144348144531,2,0,1,0,1,143.714782714844,4
"2715","02EES0001M",600.178169032506,70,0,54,0,42,200.059389677502,166
"2716","02EES0003K",440.137692175179,107,0,103,0,101,146.712564058393,311
"2717","02EES0004J",498.607516818576,90,0,96,0,68,166.202505606192,254
"2718","02EES0019L",479.578870010376,80,0,74,0,84,159.859623336792,238
"2719","02EES0026V",449.872557335293,97,0,98,0,86,149.957519111764,281
"2720","02EES0029S",486.445523316833,87,0,91,0,91,162.148507772278,269
"2721","02EES0045J",483.125171367939,52,0,33,0,41,161.041723789313,126
"2722","02EES0049F",494.241659376356,36,0,33,0,35,164.747219792119,104
"2723","02EES0050V",464.38910001867,102,0,114,0,116,154.79636667289,332
"2724","02EES0062Z",477.035826719524,366,0,382,0,401,159.011942239841,1149
"2725","02EES0063Z",518.6922160796,274,0,263,0,273,172.897405359867,810
"2726","02EES0068U",488.550285339355,32,0,46,0,19,162.850095113118,97
"2727","02EES0077B",516.521193644206,150,0,143,0,129,172.173731214735,422
"2728","02EES0089G",473.323549241286,65,0,53,0,54,157.774516413762,172
"2729","02EES0092U",440.710433121566,91,0,84,0,107,146.903477707189,282
"2730","02EES0134C",466.06044154697,144,0,133,0,122,155.353480515657,399
"2731","02EES0146H",526.887785954262,201,0,194,0,187,175.629261984754,582
"2732","02EES0168T",434.205220903669,28,0,40,0,20,144.735073634556,88
"2733","02EES0175C",484.476720636541,11,0,13,0,11,161.49224021218,35
"2734","02EES0186I",443.915270006334,37,0,29,0,28,147.971756668778,94
"2735","02EES0187H",473.969484579684,198,0,197,0,172,157.989828193228,567
"2736","02EES0197O",490.077706752679,156,0,170,0,153,163.359235584226,479
"2737","02EES0198N",476.0705835679,34,0,41,0,39,158.690194522633,114
"2738","02EES0204H",473.845474610846,166,0,177,0,127,157.948491536949,470
"2739","02EES0206F",487.655835494254,103,0,107,0,88,162.551945164751,298
"2740","02EES0213P",482.108843839621,79,0,78,0,67,160.70294794654,224
"2741","02EES0217L",447.084094707782,13,0,19,0,15,149.028031569261,47
"2742","02EES0218K",452.648835289997,115,0,114,0,101,150.882945096666,330
"2743","02EST0008Y",434.358177185059,32,0,43,0,78,144.786059061686,153
"2744","02ETV0001S",433.344791666667,15,0,12,0,10,144.448263888889,37
"2745","02ETV0004P",452.263764537465,55,0,67,0,48,150.754588179155,170
"2746","02ETV0005O",418.910034179688,8,0,4,0,1,139.636678059896,13
"2747","02ETV0007M",438.312744140625,2,0,3,0,4,146.104248046875,9
"2748","02ETV0008L",465.208742414202,14,0,17,0,10,155.069580804734,41
"2749","02ETV0014W",523.542179551235,43,0,32,0,34,174.514059850412,109
"2750","02ETV0016U",586.906860351562,4,0,5,0,7,195.635620117188,16
"2751","02ETV0020G",449.660972595215,100,0,79,0,74,149.886990865072,253
"2752","02ETV0021F",503.979896652866,71,0,58,0,45,167.993298884289,174
"2753","02ETV0022E",495.954317594829,38,0,26,0,26,165.318105864943,90
"2754","02ETV0023D",411.516072591146,6,0,5,0,2,137.172024197049,13
"2755","02ETV0029Y",540.054872710129,29,0,33,0,22,180.018290903376,84
"2756","02ETV0030N",500.461877441406,5,0,1,0,3,166.820625813802,9
