"","cct","promedioEsp","promedioMat","promedioGeneral"
"324","02PBH0041Q1",509.94,400.18,455.06
"325","02PBH0043O1",554.57,440.8,497.685
"326","02PBH0044N1",631.86,523.98,577.92
"327","02PBH0045M1",490.59,395.39,442.99
"328","02PBH0047K1",467,333.5,400.25
"329","02PBH0048J1",491.81,375.16,433.485
"330","02PBH0049I1",505.97,286.35,396.16
"331","02PBH0050Y1",563.06,392.72,477.89
"332","02PBH0053V1",496.44,363.11,429.775
"333","02PBH0058Q1",503.83,333.5,418.665
"334","02PBH0059P1",629.58,612.16,620.87
"335","02PBH0062C1",520.13,377.93,449.03
"336","02PBH0063B1",377.92,244.5,311.21
"337","02PBH0064A1",374.46,343.77,359.115
"338","02PBH0067Y1",386.8,289,337.9
"339","02PBH0069W1",409.48,300.38,354.93
"340","02PBH0069W2",474.83,328.13,401.48
"341","02PBH0070L1",435.7,293.43,364.565
"342","02PBH0071K2",406.81,318.79,362.8
"343","02PBH0073I1",506.85,386.9,446.875
"344","02PBH0080S1",529.67,346.06,437.865
"345","02PBH0083P1",389,222.25,305.625
"346","02PBH0088K1",525.12,400.12,462.62
"347","02PBH0090Z1",355.75,255.58,305.665
"348","02PBH0094V1",466.67,378,422.335
"349","02PBH0096T1",572.17,496.29,534.23
"350","02PBH0099Q1",435.48,351.78,393.63
"351","02PBH0100P1",458.5,358.44,408.47
"352","02PBH0101O1",633.44,566.81,600.125
"353","02PBH0102N1",577.85,539.06,558.455
"354","02PBH0103M1",504.9,327.1,416
"355","02PBH0105K1",520.2,360.2,440.2
"356","02PBH0106J1",581.04,381.11,481.075
"357","02PBH0108H1",511.25,400.17,455.71
"358","02PBH0109G1",259.33,229.67,244.5
"359","02PBH0111V1",364.19,312.92,338.555
"360","02PBH0113T1",566.77,390.59,478.68
"361","02PBH0114S1",402.15,248.55,325.35
"362","02PBH0115R1",568.31,511.24,539.775
"363","02PBH0116Q1",383.5,325.12,354.31
"364","02PBH0117P2",546.7,200,373.35
"365","02PBH0122A1",515.3,412.25,463.775
"366","02PBH0123Z1",564.97,579.16,572.065
"367","02PBH0124Z1",347.12,299.22,323.17
"368","02PBH0127W1",396.18,247.12,321.65
"369","02PBH0128V1",324.53,297.87,311.2
"370","02PBH2042J1",651.54,607.76,629.65
"371","02PBH3040L1",646.27,614.55,630.41
"372","02PBH3041K1",604.44,530.03,567.235
"373","02PBH3096N1",618.02,586.05,602.035
"374","02PBH3154N1",547.07,413.85,480.46
"375","02PBH3278W1",588.5,461.07,524.785
"376","02PBH3339I1",444.61,363.08,403.845
"377","02PBH3391P1",505.95,549.79,527.87
"378","02PBH3449Z1",453.45,409.03,431.24
"379","02PBH3647Z1",573.8,507.82,540.81
"380","02PBH3697V1",537.38,466.87,502.125
"381","02PBH3715F1",553.45,413.52,483.485
"382","02PCT0008C1",504.86,333.5,419.18
"383","02PCT0008C2",506.8,360.1,433.45
"384","02PCT0009B1",466.81,368.87,417.84
"385","02PCT0011Q1",487.09,371.18,429.135
"386","02PCT0011Q2",577.83,400.21,489.02
"387","02PCT0012P2",542.93,428.71,485.82
"388","02PCT0013O1",491.81,216.69,354.25
